"Step","worthy-wind-9 - Reward","clear-durian-8 - Reward","LunarLander-1 - Reward"
"0","-656.2349704596153","-1232.446077639847","-871.4527711327439"
"1","-606.9315599562417","-362.6075537678644","-333.91199722412466"
"2","-299.07582736625227","-844.225879318735","-535.6846897929556"
"3","-465.7596706112027","-493.7617585153136","-1093.4060117177776"
"4","-490.1870611527766","-581.1545150372802","-1116.775846542623"
"5","-413.4591762838069","-544.0897545032333","-1598.685981887482"
"6","-761.8122018668427","-303.4457055440265","-990.0868279146364"
"7","-398.0264880676308","-432.8616580003226","-773.8972784717948"
"8","-480.96190878263565","-441.97838755570723","-1012.1765510551536"
"9","-545.5534428922854","-578.1313055203682","-771.7187547176396"
"10","-380.67460910749276","-479.51201239685577","-1236.9446198898643"
"11","-416.66191559049633","-635.0375688481822","-1101.3505752418014"
"12","-387.6562503438423","-469.9530577664599","-759.422913413222"
"13","-428.4898728698861","-520.4831803967079","-1218.1367667622005"
"14","-512.068703972246","-346.1314929020717","-1318.5039917899858"
"15","-380.1183863696718","-750.2892463672686","-860.2880577828657"
"16","-358.00917111783417","-778.3620073655693","-835.2100792250128"
"17","-499.1096543830869","-471.64513163442257","-760.2101111395513"
"18","-477.79514695051506","-299.42564362130435","-1245.5428052469624"
"19","-952.5310538632411","-445.24351083045684","-1049.0965546359998"
"20","-405.4357209995182","-440.0069827086226","-811.3693915444396"
"21","-544.1317526913774","-333.048974926405","-778.0548426914352"
"22","-494.5687164843776","-985.99038786499","-802.5826389849589"
"23","-488.5649862412076","-361.6786772215805","-738.9191849225593"
"24","-757.4705297219882","-495.0027817970854","-827.5370392511484"
"25","-325.64703777934494","-525.0886056693319","-703.0924219156386"
"26","-543.7962528587169","-334.39351534293013","-542.4648247323651"
"27","-521.9020644257199","-435.46696867892575","-640.3763961647466"
"28","-410.0136939654431","-474.82000209507964","-696.7727465688231"
"29","-543.933779906307","-550.8068548959058","-774.0089992563345"
"30","-544.0007219205792","-696.9452413440076","-1033.6719968573984"
"31","-466.69823664915384","-753.530681279615","-882.9730006393881"
"32","-614.1358765483768","-589.2051736254609","-742.6433092325998"
"33","-368.0245931730946","-481.55618952412703","-768.0779648702174"
"34","-558.9677735406351","-563.2712555533844","-810.4658831079795"
"35","-652.1573519515572","-467.405072291665","-753.5850597156152"
"36","-368.12775224148993","-579.8037799973308","-1354.4487169633733"
"37","-287.85018008910686","-770.4280914240117","-744.5887282723962"
"38","-567.081059947277","-255.02091813661707","-676.0776951089255"
"39","-387.22579364411484","-682.1188773208833","-662.6398526759023"
"40","-547.2488724463165","-332.4927245493347","-580.705266980735"
"41","-684.0132469458943","-399.61343528214877","-731.9042962226848"
"42","-501.893942163492","-666.1628373434576","-770.832230749414"
"43","-377.28291194093293","-766.7141471604739","-665.5880538219366"
"44","-616.5791048749268","-407.77027609072616","-593.9492907153638"
"45","-338.6334061927238","-538.0314982859259","-777.156161776279"
"46","-289.586331329984","-480.19684612521166","-689.5284666274706"
"47","-719.8065839236473","-597.1484172426283","-678.1161153887589"
"48","-524.8354691073605","-843.4816939704706","-750.608060253753"
