"Step","distinctive-hill-4 - Reward","gentle-elevator-3 - Reward","different-firefly-2 - Reward"
"0","-1014.8908703377958","-1234.6515419213115","-1293.1580551700167"
"1","-1228.5823469580098","-1748.4348159056608","-1256.2260351822067"
"2","-1650.888066475382","-1120.7598504448088","-1343.6308841010407"
"3","-1650.1720090113251","-1438.4851112275107","-1323.7121862279116"
"4","-870.2751215810749","-1347.803749431169","-1318.3932832099197"
"5","-1745.9542931182166","-1732.943533328439","-1087.5799149922643"
"6","-1704.1108615013434","-1332.2651816570499","-1756.3667660463975"
"7","-1598.1912060928419","-1417.2920644665276","-1730.8651763982054"
"8","-1754.6189805574213","-1073.7557883184222","-1501.1191311421044"
"9","-1631.919625582375","-1060.6231099677295","-1734.497703829973"
"10","-891.0556494942305","-1318.6570227623636","-1448.0368675444463"
"11","-1699.0961792394073","-1726.768623977622","-1425.685305632699"
"12","-1661.9071904723348","-1210.0819289283695","-1477.9706664032094"
"13","-1647.3647976408724","-1308.0466138321042","-1729.0097220466168"
"14","-1721.7175268726469","-1394.5874045792102","-1554.1752944648383"
"15","-1538.3779107291355","-1731.1864549043614","-1680.0336692209335"
"16","-1610.4664753499255","-1621.4790667854697","-1686.389033855811"
"17","-1609.9566874185798","-1495.1909732211213","-1621.3391714260517"
"18","-1610.9182896711059","-1630.3672278877173","-1761.8438700983531"
"19","-1742.590067294859","-1293.579349540004","-1565.8977922127865"
"20","-1547.6087103590298","-1655.9335991646674","-1680.0894437825689"
"21","-1733.971774365266","-1606.9453390886451","-1641.284599632336"
"22","-1467.6631451831959","-1538.8754241738343","-1737.2453850536535"
"23","-1416.3078870591048","-1645.6598372452331","-1451.4258552392805"
"24","-1552.1046107954867","-1431.7030288539029","-1495.56103552205"
"25","-1681.8203027848406","-1399.8577062279721","-1485.8771501690755"
"26","-1681.8227450840188","-1536.3403330347178","-1696.0715918336666"
"27","-1502.129128145834","-1401.8427780210136","-1507.793752543204"
"28","-1655.1686347366685","-1352.6543045081469","-1656.680456277359"
"29","-1403.2515599680698","-1411.8179893394486","-1741.3822690826526"
"30","-1496.7948749994846","-1253.2269618503117","-1453.23145551119"
"31","-1710.3461063728982","-1227.4507899412727","-1485.5573356666916"
"32","-1530.1536826780805","-1471.3127807034086","-1717.7944032725018"
"33","-1132.3894766289955","-1292.5894958428598","-1317.6119564930452"
"34","-1357.1737276540769","-1515.2620053849087","-1324.0950503395406"
"35","-1329.4395302067305","-379.97140734092824","-1307.7621888872666"
"36","-1457.528546332126","-1139.243127833966","-1382.3891410969727"
"37","-1404.1955402213237","-1083.6892064909023","-1231.3338050812304"
"38","-0.6408999767368159","-979.5268650792688","-1196.4467156789533"
"39","-1306.30952120033","-1083.511206220124","-1303.5627933242786"
"40","-1321.0233037466194","-1121.9641662940076","-1266.824575348421"
"41","-1.5339299939905462","-1378.7451384928152","-1177.852341997491"
"42","-1240.6517086563235","-1077.9878021135128","-1117.9526979556763"
"43","-1200.4386794239424","-610.415726808469","-1177.7403681974392"
"44","-1337.3520826985882","-1314.4189502478478","-1252.0525045806817"
"45","-1156.427919872121","-1137.4020868396226","-1368.4623077931515"
"46","-1116.2344053490438","-975.7366927593253","-1047.4229372199557"
"47","-1138.2197052958916","-1080.2732516194849","-1121.0454952011614"
"48","-1132.0434626147646","-1133.380325007254","-1296.0016802276564"
"49","-1115.9822756702922","-256.73414348314674","-930.7716297597548"
"50","-1013.7482754050733","-987.3634395038162","-1268.4717286292962"
